player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Quinton Jackson,163001,HB,RICE,Rice,Rice,5,73,13,4,21.5,76,0,351,0,0,13,196,48.5,9,22,275,0,52,73.5,69.7,82.2,0,30,56.4,71.9,51.4,26,0,-6,1,19,119,2,1,1,73,2,353,202,2.77,4.8,-0.32,20,4,21,70,78,459,163,39,264,415,60,68,530,58,26,3,433,527,153,334,503,666,309,1088,297,1305,580,535,94,229,192,613,37,148,44,69,607,584,1299,153,1,1,1
Carson Hansen,174669,HB,IOWA STATE,Iowa State,Iowa State,5,73,13,3,21.6,68,0,315,0,4,13,221,62,7,16,193,1,41,68,70.6,82.3,0,83.4,69.7,69.3,57.1,38,0,77,10,80,96,0,0,12,83,2,315,221,3.03,4.3,0.96,32,4,21,70,122,455,194,63,264,68,60,46,428,123,89,15,771,470,143,334,22,182,427,938,179,213,172,143,169,246,251,188,17,148,73,49,488,692,423,63,1,1008,1
Emmett Johnson,156473,HB,NEBRASKA,Nebraska,Nebraska,4,71,16,4,29.7,116,0,391,1,3,16,187,57.5,9,21,238,1,24,67.9,71.1,83.8,0,71.4,54.8,74.5,79.8,47,0,73,16,119,76,0,0,21,87,4,391,187,2.63,5.5,0.61,47,312,23,39,78,377,89,29,80,109,36,82,456,58,31,76,773,439,44,334,201,746,229,18,128,224,66,47,269,246,251,84,15,47,33,88,648,436,531,15,1,1008,1
Haynes King,124329,QB,GA TECH,Georgia Tech,Georgia Tech,4,70,8,6,35.1,144,0,376,0,0,7,151,23.5,12,26,176,5,52,48.7,78.2,83.2,75.6,0,57,69.3,60,45,0,0,0,0,154,34,3,0,67,7,410,185,2.64,5.9,0,8,312,24,177,27,324,54,32,264,415,169,116,768,24,9,3,1161,179,80,82,593,632,427,313,138,685,708,927,27,115,143,742,48,6,23,90,644,369,681,371,1,1299,1
Devin Mockobee,145111,HB,PURDUE,Purdue,Purdue,4,70,15,1,6.9,17,0,246,0,3,15,212,67.3,7,18,273,1,40,67.2,73.7,82.2,60.4,44.3,73.4,73.6,58.2,17,0,122,11,72,79,0,0,11,81,3,246,212,3.03,3.5,1.69,29,312,24,53,299,557,464,112,264,109,48,53,394,123,59,17,840,330,153,212,432,125,252,876,489,140,151,170,249,246,251,203,21,90,132,58,488,869,228,76,1,1008,1
Kaden Feagin,174024,HB,ILLINOIS,Illinois,Illinois,5,69,8,2,14.7,44,0,298,0,0,8,193,31.5,5,19,187,1,28,84.3,79,82,0,28,66.4,81.7,71.6,26,0,80,4,54,75,2,1,4,72,3,300,194,2.81,4.3,1.48,39,4,26,177,178,511,273,78,264,415,150,71,693,196,47,49,13,154,175,334,512,257,56,56,297,207,371,257,276,229,192,428,38,90,84,78,589,692,274,27,1,1008,1
Fluff Bothwell,190075,HB,MISS STATE,Mississippi State,Mississippi State,5,69,14,6,27.9,113,0,405,1,2,14,259,81.2,11,27,227,0,40,84.8,80.6,10,0,58,66,81.1,75.8,25,1,31,5,63,85,0,0,8,74,6,405,259,3.75,5.9,0.49,29,4,26,62,27,395,97,22,80,167,55,27,330,33,8,17,10,117,1254,334,352,268,63,29,312,405,310,205,211,246,251,269,32,14,25,29,298,369,571,76,1,1,1081
Robert Henry Jr.,174094,HB,UTSA,UTSA,UTSA,4,69,17,10,68.4,428,0,626,1,2,17,387,134.9,14,17,331,0,30,84.5,79.5,13.2,0,31.8,67.4,83,58.7,76,1,94,10,84,77,0,0,15,79,7,626,387,5.61,9.1,1.12,37,312,26,29,2,85,1,2,80,167,27,4,157,13,72,41,11,140,1251,334,493,235,46,838,16,185,172,134,264,246,251,145,24,6,2,4,103,103,371,34,1,1,1081
Seth McGowan,122936,HB,KENTUCKY,Kentucky,Kentucky,4,68,17,5,23,89,1,387,2,0,17,212,76.8,10,18,202,0,43,84.3,71,1.7,0,61.3,36.7,78,36.6,20,1,5,1,54,72,0,0,5,69,7,387,212,3.12,5.7,0.09,23,312,29,29,46,445,134,31,18,415,27,53,350,49,59,10,13,445,1266,334,330,910,130,1173,419,621,580,257,296,246,251,381,43,6,35,58,467,410,671,120,1280,1,1081
Dewayne Coleman,163179,QB,ARMY,Army,Army,3,68,10,1,9.5,26,0,262,0,0,10,191,43.8,7,21,114,2,26,52,74.3,81.2,70.2,0,54.3,68.6,60,26,0,0,0,1,148,13,2,0,66,3,275,195,2.87,4,0,29,761,29,126,299,547,366,100,264,415,103,76,575,123,31,65,1141,308,244,135,593,764,462,313,297,685,708,843,32,173,164,742,49,90,102,75,575,761,681,76,1,1196,1
