player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Kobe Boykin,188615,HB,DELWARE ST,Delaware State,Delaware State,4,6,2,0,0,0,0,16,0,0,2,13,61.9,1,1,152,0,2,70.7,56.7,73.7,0,12.1,57.1,61.9,52.9,12,0,7,1,13,9,0,0,3,7,0,16,13,2.17,2.7,0.54,4,312,689,498,562,562,562,772,264,415,455,703,429,545,721,640,590,1145,778,334,576,626,883,1062,674,595,580,602,1021,246,251,486,802,550,836,763,811,1001,553,529,1,1,1
Cody Hagen,189644,WR,BYU,BYU,BYU,4,6,1,2,95.7,89,0,93,0,3,1,37,224.2,2,2,128,0,0,72.4,65.6,81.4,0,0,60.2,71.4,69.9,57,0,53,5,55,84,0,0,8,11,2,93,37,6.17,15.5,0.96,0,312,689,630,178,34,134,367,264,109,574,469,80,414,614,954,493,745,223,334,593,447,325,68,77,293,310,251,218,246,251,269,659,148,411,521,80,31,423,899,1,1,1
Amani Givens,189819,HB,LA TECH,Louisiana Tech,Louisiana Tech,5,6,3,0,0,0,0,28,0,0,3,23,191.7,0,2,208,0,2,70.5,68.9,77.7,0,80,54.5,72.8,57.1,9,0,0,0,10,32,0,0,0,6,0,28,23,3.83,4.7,0,4,4,689,418,562,562,562,661,264,415,369,570,98,812,614,640,603,568,524,334,56,761,279,938,812,685,708,630,649,246,251,742,855,550,720,623,279,606,681,529,1,1,1
Quinn Henicle,190064,QB,DOMINION,Old Dominion,Old Dominion,2,6,0,0,0,0,0,-3,0,0,0,6,0,0,0,263,0,1,70.4,55.7,72.7,55.8,0,0,58,60,2,0,0,0,0,15,0,0,0,6,0,-3,6,1,-0.5,0,1,939,689,843,562,562,562,1250,264,415,781,859,901,812,995,765,617,1177,852,262,593,934,1110,313,1129,685,708,927,894,246,251,742,855,550,1265,913,1088,1224,681,733,1,1,1
Charlie Miska,198206,HB,BYU,BYU,BYU,1,6,1,0,0,0,0,14,0,0,1,17,47.2,0,1,128,0,0,70.5,55.2,69.9,0,0,0,56.3,59.1,5,0,0,0,0,9,0,0,0,6,1,14,17,2.83,2.3,0,6,1113,689,630,562,562,562,799,264,415,574,658,546,812,721,954,603,1189,995,334,593,934,1206,797,1004,685,708,927,1021,246,251,742,855,284,861,715,583,1040,681,439,1,1,1
Bo Walker,198466,HB,GEORGIA,Georgia,Georgia,1,6,0,0,0,0,0,12,1,0,0,12,0,0,1,173,0,5,70.5,49.2,69.8,0,0,28.2,57.4,0,8,0,0,0,3,6,0,0,1,6,0,12,12,2,2,0,1,1113,689,843,562,562,562,831,80,415,781,717,901,812,721,461,603,1266,997,334,593,926,1162,1181,861,685,708,784,1082,246,251,613,855,550,893,778,850,1071,681,733,1,1,1
Cam Macon,199582,HB,AKRON,Akron,Akron,2,6,0,0,0,0,0,25,0,0,0,13,0,0,2,102,1,0,17.9,52.4,71.4,0,71.8,56.6,53.1,60,8,0,0,0,5,7,0,0,0,6,0,25,13,2.17,4.2,0,6,939,689,843,562,562,562,690,264,415,781,703,901,812,614,954,1285,1235,911,334,188,656,1251,313,861,685,708,728,1060,246,251,742,855,550,748,763,811,720,681,439,1,1008,1
Duke Clark,200128,HB,FLORIDA,Florida,Florida,2,6,3,0,0,0,0,20,2,0,3,14,100,0,2,163,0,0,70.7,62.7,73.2,0,68.1,27.8,77.4,60,5,0,3,1,10,7,0,0,3,7,0,20,14,2.33,3.3,0.3,6,939,689,418,562,562,562,730,18,415,369,688,255,812,614,954,590,894,818,334,251,929,146,313,1004,652,580,630,1060,246,251,486,802,550,795,745,757,902,624,439,1,1,1
TJ Peyton,204900,HB,GA STATE,Georgia State,Georgia State,3,6,2,1,89.1,49,0,55,0,0,2,49,233.3,1,1,175,0,1,73.9,67.1,74.4,0,31.8,62.1,69.5,60,49,0,15,1,10,7,0,0,2,7,0,55,49,8.17,9.2,1.5,5,761,689,498,299,45,252,490,264,415,455,395,73,545,721,765,417,666,738,334,493,394,408,313,116,520,580,630,1060,246,251,553,802,550,541,436,39,98,268,481,1,1,1
Antonio Martin Jr.,156308,HB,KANSAS ST,Kansas State,Kansas State,1,5,0,0,0,0,0,17,0,0,0,14,0,0,0,199,0,3,69.7,49.4,71.4,0,0.5,57.3,57.4,0,5,0,0,0,3,5,0,0,0,5,0,17,14,2.8,3.4,0,2,1113,727,843,562,562,562,764,264,415,781,688,901,812,995,565,646,1265,911,334,592,615,1162,1181,1004,685,708,784,1119,246,251,742,895,550,828,745,593,889,681,637,1,1,1
Samuel Brown V,162899,HB,RUTGERS,Rutgers,Rutgers,1,5,1,0,0,0,0,12,0,0,1,12,48,0,0,278,0,0,69.7,59,73,0,15.4,56.1,63.9,0,9,0,0,0,6,5,0,0,0,5,0,12,12,2.4,2.4,0,5,1113,727,630,562,562,562,831,264,415,574,717,539,812,995,954,646,1071,825,334,567,688,694,1181,812,685,708,700,1119,246,251,742,895,550,893,778,734,1035,681,481,1,1,1
Dane Nauman,190135,HB,TOLEDO,Toledo,Toledo,1,5,0,0,0,0,0,31,0,0,0,27,0,2,2,316,0,0,69.7,67.3,67.3,0,68.1,0,65.6,0,12,0,0,0,0,5,0,0,0,5,0,31,27,5.4,6.2,0,5,1113,727,843,562,562,562,636,264,415,781,543,901,414,614,954,646,655,1088,334,251,934,625,1181,674,685,708,927,1119,246,251,742,895,550,694,595,116,313,681,481,1,1,1
Ryan Wingo,184520,WR,TEXAS,Texas,Texas,4,5,1,1,76.2,32,0,42,1,1,1,25,55.6,1,1,311,0,0,72.1,66.2,36.5,0,0,65.1,73.2,57.4,32,1,190,13,113,118,0,0,29,18,0,42,25,5,8.4,1.68,0,312,727,630,299,72,336,560,80,257,574,556,473,545,721,954,509,715,1207,334,593,297,267,925,227,88,110,59,99,246,251,39,475,550,613,606,133,135,231,899,1,1,1081
Jakivion Calip,171225,HB,C MICHIGAN,Central Michigan,Central Michigan,1,5,0,1,60.6,20,0,33,0,0,0,7,0,1,1,134,0,0,69.7,71.6,68.6,0,0,59.5,69.6,0,20,0,0,0,1,5,0,0,0,5,0,33,7,1.4,6.6,0,5,1113,727,843,299,113,416,615,264,415,781,833,901,545,721,954,646,413,1040,334,593,509,404,1181,419,685,708,843,1119,246,251,742,895,550,670,887,1060,271,681,481,1,1,1
Corey Smith,191341,HB,PENN STATE,Penn State,Penn State,1,5,1,0,0,0,0,13,0,0,1,11,44,0,1,266,0,4,69.7,62.6,70.7,0,0,54.8,63.9,60,9,0,0,0,5,6,0,0,0,5,0,13,11,2.2,2.6,0,1,1113,727,630,562,562,562,815,264,415,574,734,573,812,721,504,646,899,956,334,593,746,694,313,812,685,708,728,1082,246,251,742,895,550,875,796,800,1014,681,733,1,1,1
Trech Kekahuna,175527,WR,WISCONSIN,Wisconsin,Wisconsin,4,5,0,1,84.7,61,0,72,0,1,0,10,12.5,1,1,349,0,0,72.5,65.4,7,0,0,64.8,68,56.5,61,1,123,11,73,53,0,0,17,16,1,72,10,2,14.4,1.68,0,312,727,843,299,56,212,431,264,257,781,754,856,545,721,954,487,756,1261,334,593,305,497,967,64,138,151,167,426,246,251,124,516,284,484,816,850,37,231,899,1,1,1081
Blake Barnett,183896,QB,KANSAS ST,Kansas State,Kansas State,1,5,1,0,0,0,0,23,0,0,1,18,72,1,2,199,0,5,69.7,74.3,70.2,0,0,0,68.7,0,11,0,0,0,0,5,0,0,0,5,0,23,18,3.6,4.6,0,0,1113,727,630,562,562,562,702,264,415,574,639,377,545,614,461,646,308,982,334,593,934,458,1181,725,685,708,927,1119,246,251,742,895,550,762,698,330,632,681,899,1,1,1
Tyrell Henry,158385,WR,WISCONSIN,Wisconsin,Wisconsin,4,5,2,0,0,0,0,19,0,0,2,14,62.2,0,1,349,0,3,79.5,59.4,78.8,37.9,0,63.6,62.3,58.2,5,0,13,4,25,35,0,0,4,9,0,19,14,2.8,3.8,0.52,0,312,727,498,562,562,562,739,264,415,455,688,424,812,721,565,153,1050,440,318,593,348,854,876,1004,537,371,467,597,246,251,428,726,550,806,745,593,826,560,899,1,1,1
Maxwell Woods,192051,HB,WASH STATE,Washington State,Washington State,4,5,3,1,52.9,18,0,34,0,2,3,23,164.3,1,2,341,0,3,71.3,72.7,76,0,8.6,75.3,74.5,59,18,0,60,9,21,10,0,0,11,14,0,34,23,4.6,6.8,2.86,2,312,727,418,299,168,443,605,264,167,369,570,122,545,614,565,555,373,642,334,585,100,229,808,467,259,191,516,986,246,251,203,578,550,662,623,173,251,76,637,1,1,1
Seth Davis,172539,HB,MISS STATE,Mississippi State,Mississippi State,2,5,0,1,48.9,23,0,47,0,0,0,12,0,1,3,227,0,1,69.7,79.8,69.2,0,67.7,0,76.1,59.9,23,0,0,0,0,7,0,0,0,5,1,47,12,2.4,9.4,0,4,939,727,843,299,197,385,530,264,415,781,717,901,545,529,765,646,130,1021,334,259,934,175,704,357,685,708,927,1060,246,251,742,895,284,583,778,734,92,681,529,1,1,1
Bryson Kuzdzal,176252,HB,MICHIGAN,Michigan,Michigan,1,5,3,0,0,0,0,30,0,0,3,22,264,1,3,222,0,3,69.7,79.6,70.1,0,0,0,75.7,60,11,0,0,0,0,6,0,0,0,5,1,30,22,4.4,6,0,2,1113,727,418,562,562,562,644,264,415,369,582,56,545,529,565,646,134,987,334,593,934,191,313,725,685,708,927,1082,246,251,742,895,284,704,636,206,331,681,637,1,1,1
Jordan Lyle,189441,HB,MIAMI FL,Miami (FL),Miami (FL),1,5,0,0,0,0,0,11,0,0,0,11,0,0,1,220,0,1,69.7,62.1,72.9,0,75.5,57.8,62.1,0,5,0,0,0,2,5,0,0,0,5,0,11,11,2.2,2.2,0,4,1113,727,843,562,562,562,852,264,415,781,734,901,812,721,765,646,917,836,334,123,584,870,1181,1004,685,708,812,1119,246,251,742,895,550,915,796,800,1059,681,529,1,1,1
Landon Sims,200048,QB,WYOMING,Wyoming,Wyoming,3,5,1,0,0,0,0,10,0,0,0,5,0,1,1,351,0,2,68.9,70.9,73.4,63.4,0,0,67.1,60,12,0,0,0,0,20,12,1,0,4,0,22,13,2.6,4.4,0,2,761,727,630,562,562,562,878,264,415,781,896,901,545,721,640,709,453,801,185,593,934,547,313,674,685,708,927,807,179,192,742,956,550,774,763,658,674,681,637,1,1,1
TJ Lateef,199810,QB,NEBRASKA,Nebraska,Nebraska,2,5,2,0,0,0,0,8,0,0,0,1,0,0,2,238,0,0,67.5,79.3,74.2,71.6,0,0,72.2,60,9,0,0,0,0,16,24,4,0,1,2,32,14,2.8,6.4,0,1,939,727,498,562,562,562,917,264,415,781,1120,901,812,614,954,807,149,750,125,593,934,301,313,812,685,708,927,869,140,126,742,1159,148,681,745,593,294,681,733,1,1,1
Michael Hawkins Jr.,184595,QB,OKLAHOMA,Oklahoma,Oklahoma,1,5,5,1,46.9,15,0,16,0,0,0,6,0,2,2,261,1,0,19.8,58.7,72.2,51,0,0,63.6,60,15,0,0,0,0,12,16,2,0,3,0,32,11,2.2,6.4,0,2,1113,727,286,299,215,519,772,264,415,781,859,901,414,614,954,1278,1081,880,288,593,934,715,313,553,685,708,927,949,163,164,742,1009,550,681,796,800,294,681,637,1,1008,1
Anthony Rubio,174262,HB,FLORIDA,Florida,Florida,1,5,1,0,0,0,0,27,0,0,1,13,52,1,1,163,0,1,69.7,69.5,71.4,0,0,55.6,70,0,12,0,0,0,5,5,0,0,0,5,0,27,13,2.6,5.4,0,4,1113,727,630,562,562,562,670,264,415,574,703,502,545,721,765,646,534,911,334,593,706,382,1181,674,685,708,728,1119,246,251,742,895,550,727,763,658,452,681,529,1,1,1
Cincere Rhaney,188822,HB,S DIEGO ST,San Diego State,San Diego State,1,5,0,0,0,0,0,19,0,0,0,20,0,0,0,284,0,4,70.5,59.8,71,0,70.8,57.8,60,58.8,8,0,0,0,3,9,0,0,0,5,0,19,20,4,3.8,0,1,1113,727,843,562,562,562,739,264,415,781,612,901,812,995,504,603,1029,937,334,208,584,960,829,861,685,708,784,1021,246,251,742,895,550,806,665,234,826,681,733,1,1,1
Manny Covey,173029,HB,CINCINNATI,Cincinnati,Cincinnati,3,5,1,1,54.5,24,0,44,0,0,1,14,56,1,2,138,0,1,79,77.5,70.8,0,0,48.7,78.5,60,24,0,0,0,5,6,0,0,0,5,0,44,14,2.8,8.8,0,4,761,727,630,299,150,377,549,264,415,574,688,469,545,614,765,171,203,952,334,593,860,113,313,337,685,708,728,1082,246,251,742,895,550,601,745,593,117,681,529,1,1,1
Daniel Beale,197861,QB,LA LAFAYET,Louisiana,Louisiana,5,5,2,0,0,0,0,0,0,0,0,0,100,2,1,207,0,0,72.3,60.9,81.7,58.3,0,0,64.8,60,22,1,0,0,0,98,43,5,0,0,0,43,31,6.2,8.6,0,0,4,727,498,562,562,562,1152,264,415,781,1180,255,414,721,954,499,968,202,238,593,934,654,313,377,685,708,927,162,102,114,742,1296,550,605,557,77,127,681,899,1,1,1081
Thomas Gotkowski,184081,QB,MIAMI OH,Miami (OH),Miami (OH),1,5,1,0,0,0,0,16,0,0,1,12,48,0,0,221,0,1,69.7,84.7,71.8,0,0,0,74.8,60,9,0,0,0,0,17,0,0,0,5,0,16,12,2.4,3.2,0,2,1113,727,630,562,562,562,772,264,415,574,717,539,812,995,765,646,67,895,334,593,934,215,313,812,685,708,927,859,246,251,742,895,550,836,778,734,919,681,637,1,1,1
Kirk Francis,173296,QB,TULSA,Tulsa,Tulsa,2,5,0,0,0,0,0,5,0,0,0,0,0,0,2,320,0,1,71.6,73.1,39.9,73.2,0,0,63,60,6,1,0,0,0,53,6,1,0,4,0,11,1,0.2,2.2,0,2,939,727,843,562,562,562,1001,264,415,781,1180,901,812,614,765,537,353,1203,101,593,934,800,313,954,685,708,927,426,213,192,742,956,550,915,1149,1207,1059,681,637,1,1,1081
EJ Smith,131782,HB,TEXAS A&M,Texas A&M,Texas A&M,3,5,2,0,0,0,0,31,0,0,2,18,144,1,2,312,0,1,69.7,65.8,73.2,0,26.7,55.9,70.4,0,11,0,0,0,8,5,0,0,0,5,1,31,18,3.6,6.2,0,4,761,727,498,562,562,562,636,264,415,455,639,148,545,614,765,646,735,818,334,515,697,363,1181,725,685,708,662,1119,246,251,742,895,284,694,698,330,313,681,529,1,1,1
Gage LaDue,198052,FB,AIR FORCE,Air Force,Air Force,1,5,0,0,0,0,0,19,0,0,0,8,0,0,0,101,0,5,69.7,61.9,72.8,0,0,0,61.6,59.8,6,0,0,0,0,10,0,0,0,5,0,19,8,1.6,3.8,0,0,1113,727,843,562,562,562,739,264,415,781,805,901,812,995,461,646,926,842,334,593,934,895,714,954,685,708,927,986,246,251,742,895,550,806,863,1017,826,681,899,1,1,1
Drew Dickey,163710,QB,VANDERBILT,Vanderbilt,Vanderbilt,2,5,0,0,0,0,0,11,0,0,0,6,0,0,1,333,0,3,69.6,85.5,69.1,82.1,0,0,68,0,9,0,0,0,0,5,0,0,0,5,1,11,6,1.2,2.2,0,0,939,727,843,562,562,562,852,264,415,781,859,901,812,721,565,678,60,1024,39,593,934,497,1181,812,685,708,927,1119,246,251,742,895,284,915,913,1074,1059,681,899,1,1,1
Christian Veilleux,145086,QB,GA STATE,Georgia State,Georgia State,1,5,1,0,0,0,0,2,0,0,0,3,0,1,2,175,0,0,68.6,58.1,73.4,52.2,0,0,64.2,60,17,0,0,0,0,13,18,2,0,3,0,20,27,5.4,4,0,1,1113,727,630,562,562,562,1085,264,415,781,972,901,545,614,954,724,1097,801,279,593,934,679,313,489,685,708,927,936,156,164,742,1009,550,795,595,116,761,681,733,1,1,1
Travis Bates,162692,HB,DUKE,Duke,Duke,1,5,2,1,88.6,39,0,44,0,0,2,14,112,1,1,154,0,0,69.7,71.5,68.6,0,0,0,69.2,60,39,0,0,0,0,7,0,0,0,5,0,44,14,2.8,8.8,0,5,1113,727,498,299,48,310,549,264,415,455,688,210,545,721,954,646,418,1040,334,593,934,430,313,175,685,708,927,1060,246,251,742,895,550,601,745,593,117,681,481,1,1,1
Reggie Branch II,150071,HB,MO STATE,Missouri State,Missouri State,4,5,1,0,0,0,0,30,0,0,1,20,66.7,1,2,230,0,5,69.9,67.7,75.1,60.6,73.2,61,67.3,60,10,0,5,1,6,7,0,0,2,6,0,30,20,4,6,0.83,0,312,727,630,562,562,562,644,264,415,574,612,396,545,614,461,636,633,696,206,159,425,533,313,770,621,580,700,1060,246,251,553,855,550,704,665,234,331,459,899,1,1,1
Demarius Robinson,198120,HB,ARIZONA ST,Arizona State,Arizona State,2,5,0,0,0,0,0,13,0,0,0,10,0,0,0,110,0,3,69.7,64.2,72.9,0,70,57.4,64.7,59.8,5,0,0,0,3,10,0,0,0,5,0,13,10,2,2.6,0,2,939,727,843,562,562,562,815,264,415,781,754,901,812,995,565,646,828,836,334,228,611,660,714,1004,685,708,784,986,246,251,742,895,550,875,816,850,1014,681,637,1,1,1
Kolin Wilson,198870,HB,MISS STATE,Mississippi State,Mississippi State,2,5,1,1,65.4,17,0,26,0,0,1,22,88,1,1,227,0,2,71.8,66.8,68.5,0,0,0,65.3,60,17,0,0,0,0,7,0,0,0,5,0,26,22,4.4,5.2,0,3,939,727,630,299,95,464,678,264,415,574,582,312,545,721,640,531,680,1051,334,593,934,640,313,489,685,708,927,1060,246,251,742,895,550,736,636,206,497,681,585,1,1,1
Ky Woods,163868,HB,NEVADA,Nevada,Nevada,4,5,1,2,93.5,43,0,46,0,1,1,21,120,2,2,239,1,2,23.9,68.6,73.9,0,73.2,87.5,59.6,57.3,28,0,59,2,8,16,0,0,2,7,0,46,21,4.2,9.2,7.38,2,312,727,630,178,38,278,535,264,257,574,599,187,414,614,640,1264,588,773,334,159,19,1009,931,268,265,502,662,869,246,251,553,802,550,588,654,221,98,10,637,1,1008,1
Jason Wright,198203,QB,BUFFALO,Buffalo,Buffalo,1,5,1,0,0,0,0,20,0,0,1,23,92,0,1,126,0,5,69.7,71.3,68.1,0,0,0,66.7,0,8,0,0,0,0,5,0,0,0,5,0,20,23,4.6,4,0,0,1113,727,630,562,562,562,730,264,415,574,570,296,812,721,461,646,427,1061,334,593,934,566,1181,861,685,708,927,1119,246,251,742,895,550,795,623,173,761,681,899,1,1,1
J.P. Powell,199682,HB,GA TECH,Georgia Tech,Georgia Tech,2,5,1,1,83.6,56,0,67,0,0,1,11,44,1,2,176,0,3,69.7,72.5,69.8,0,0,59.3,70.7,0,56,0,0,0,1,5,0,0,0,5,1,67,11,2.2,13.4,0,2,939,727,630,299,58,225,455,264,415,574,734,573,545,614,565,646,378,997,334,593,523,350,1181,83,685,708,843,1119,246,251,742,895,284,509,796,800,43,681,637,1,1,1
Bryan Jackson,183621,HB,USC,USC,USC,1,5,0,0,0,0,0,11,0,0,0,8,0,0,1,326,0,1,70.7,60.8,72.9,0,70.3,58.9,61,59.5,6,0,0,1,8,8,0,0,1,6,1,11,8,1.6,2.2,0,4,1113,727,843,562,562,562,852,264,415,781,805,901,812,721,765,590,974,836,334,220,537,919,745,954,685,580,662,1045,246,251,613,855,284,915,863,1017,1059,681,529,1,1,1
Duane Thomas Jr.,175797,WR,UCF,UCF,UCF,4,5,0,0,0,0,0,4,0,4,0,6,22.9,0,0,323,0,1,71.7,69.3,81.5,0,0,68.6,56.5,73.9,8,0,203,16,96,70,0,0,24,21,0,4,6,1.2,0.8,2.11,2,312,727,843,562,562,562,1033,264,68,781,859,769,812,995,765,533,544,215,334,593,206,1201,41,861,79,66,103,307,246,251,60,418,550,1072,913,1074,1171,150,637,1,1,1
Solomon Vanhorse,78573,HB,INDIANA,Indiana,Indiana,2,5,0,0,0,0,0,30,0,0,0,12,0,1,2,190,0,3,69.7,70,69.8,0,0,0,67.9,60,12,0,0,0,0,6,0,0,0,5,0,30,12,2.4,6,0,1,939,727,843,562,562,562,644,264,415,781,717,901,545,614,565,646,511,997,334,593,934,506,313,674,685,708,927,1082,246,251,742,895,550,704,778,734,331,681,733,1,1,1
Eric Rivers,144279,WR,GA TECH,Georgia Tech,Georgia Tech,5,5,2,1,58.7,27,0,46,2,3,2,39,185.7,1,2,176,0,4,75.9,70.7,31.9,0,0,70.8,71.5,52.9,27,1,207,16,96,111,0,0,26,21,0,46,39,7.8,9.2,2.16,0,4,727,498,299,124,361,535,18,109,455,452,104,545,614,504,312,461,1219,334,593,166,322,1062,283,77,66,103,118,246,251,54,418,550,588,504,46,98,142,899,1,1,1081
Nykahi Davenport,189601,HB,USF,USF,USF,2,5,2,1,79.6,43,0,54,0,0,2,12,96,1,1,327,0,3,69.7,64.7,72.7,60,41.2,56.2,69.1,60,43,0,0,0,7,6,0,0,0,5,1,54,12,2.4,10.8,0,2,939,727,498,299,62,278,497,264,415,455,717,283,545,721,565,646,797,852,215,452,677,439,313,146,685,708,684,1082,246,251,742,895,284,546,778,734,66,681,637,1,1,1
Cash Jones,155211,HB,GEORGIA,Georgia,Georgia,4,5,0,0,0,0,0,0,0,4,0,8,64,0,0,173,0,1,69.9,62.2,76.7,0,81.8,64.2,58.2,59.8,7,0,53,5,27,8,0,0,7,10,0,0,8,1.6,0,1.96,3,312,727,843,562,562,562,1152,264,68,781,805,414,812,995,765,636,910,600,334,32,328,1100,714,907,293,310,453,1045,246,251,304,688,550,1192,863,1017,1192,174,585,1,1,1
Deshawn Purdie,184271,QB,WAKE,Wake Forest,Wake Forest,2,5,2,0,0,0,0,-7,0,0,0,0,0,0,0,339,0,1,69,66.8,72.7,72.6,0,0,55.6,60,0,0,0,0,0,14,0,1,0,4,0,-7,7,1.4,-1.4,0,0,939,727,498,562,562,562,1281,264,415,781,1180,901,812,995,765,702,680,852,111,593,934,1225,313,1207,685,708,927,918,246,192,742,956,550,1290,887,1060,1257,681,899,1,1,1
Lucas Laroche,190133,HB,TOLEDO,Toledo,Toledo,1,5,0,0,0,0,0,6,0,0,0,7,0,0,0,316,0,1,69.7,51.6,68.1,0,70.2,59.5,52.9,0,3,0,0,0,1,5,0,0,0,5,0,6,7,1.4,1.2,0,4,1113,727,843,562,562,562,966,264,415,781,833,901,812,995,765,646,1242,1061,334,222,509,1253,1181,1102,685,708,843,1119,246,251,742,895,550,1014,887,1060,1140,681,529,1,1,1
Ben Prosper,198369,WR,E MICHIGAN,Eastern Michigan,Eastern Michigan,5,5,2,0,0,0,0,18,0,1,2,20,75,0,0,160,0,3,71.5,60.7,79.5,0,0,62.4,60.5,43,7,0,117,11,91,46,0,0,11,16,0,18,20,4,3.6,1.29,0,4,727,498,562,562,562,750,264,257,455,612,359,812,995,565,546,977,385,334,593,384,947,1157,907,149,151,118,486,246,251,203,516,550,816,665,234,862,318,899,1,1,1
Jamauri McClure,189581,HB,TULANE,Tulane,Tulane,2,5,2,0,0,0,0,36,0,0,2,20,160,2,2,319,1,2,17.9,51.2,72.1,0,24.3,57.3,53.3,59,11,0,0,0,5,9,0,0,0,5,0,36,20,4,7.2,0,3,939,727,498,562,562,562,595,264,415,455,612,126,414,614,640,1285,1245,883,334,529,615,1247,808,725,685,708,728,1021,246,251,742,895,550,654,665,234,205,681,585,1,1008,1
Jamarion Morrow,199997,HB,TEXAS A&M,Texas A&M,Texas A&M,4,5,1,1,66.7,22,0,33,0,1,1,32,213.3,1,1,312,0,4,70.3,68.2,74.3,0,76.7,55.3,72.2,59.9,22,0,8,1,14,10,0,0,1,6,0,33,32,6.4,6.6,0.57,1,312,727,630,299,93,393,615,264,257,574,504,86,545,721,504,622,606,746,334,99,719,301,704,377,587,580,589,986,246,251,613,855,550,670,552,74,271,544,733,1,1,1
Tony Mathis Jr.,99481,HB,MARSHALL,Marshall,Marshall,2,5,1,0,0,0,0,8,0,0,1,6,24,0,0,214,0,2,69.7,48.8,71.3,0,67.7,57.6,51.3,57,3,0,0,0,3,9,0,0,0,5,0,8,6,1.2,1.6,0,3,939,727,630,562,562,562,917,264,415,574,859,759,812,995,640,646,1267,922,334,259,600,1264,944,1102,685,708,784,1021,246,251,742,895,550,972,913,1074,1131,681,585,1,1,1
Tramell Jones Jr.,200122,QB,FLORIDA,Florida,Florida,1,5,0,0,0,0,0,-3,0,0,0,0,0,0,1,163,0,0,68.1,76.4,74.7,82.3,0,0,53.8,60,9,0,0,0,0,16,17,4,0,1,0,14,0,0,2.8,0,1,1113,727,843,562,562,562,1250,264,415,781,1180,901,812,721,954,764,244,722,38,593,934,1244,313,812,685,708,927,869,161,126,742,1159,550,861,1208,1208,991,681,733,1,1,1
Doe Boyland,149553,HB,OHIO,Ohio,Ohio,2,5,1,0,0,0,0,26,0,0,1,19,76,1,1,259,0,5,69.7,63.2,71.9,0,0,60,62.8,60,12,0,0,0,1,7,0,0,0,5,0,26,19,3.8,5.2,0,0,939,727,630,562,562,562,678,264,415,574,626,353,545,721,461,646,874,892,334,593,451,822,313,674,685,708,843,1060,246,251,742,895,550,736,681,282,497,681,899,1,1,1
Jobi Malary,103979,HB,JAMES MAD,James Madison,James Madison,2,5,1,1,51.6,16,0,31,0,0,1,23,92,1,2,197,0,2,69.7,73.7,70.9,0,73.5,57.7,75.3,54.9,16,0,0,0,2,9,0,0,0,5,0,31,23,4.6,6.2,0,3,939,727,630,299,175,489,636,264,415,574,570,296,545,614,640,646,330,948,334,156,594,200,1019,520,685,708,812,1021,246,251,742,895,550,694,623,173,313,681,585,1,1,1
James Laubstein,190465,QB,NEW MEXICO,New Mexico,New Mexico,2,5,1,0,0,0,0,5,0,0,1,10,40,0,0,241,0,5,69.7,47.7,69.4,0,65.5,0,52.1,0,4,0,0,0,0,5,0,0,0,5,0,5,10,2,1,0,0,939,727,630,562,562,562,1001,264,415,574,754,612,812,995,461,646,1273,1010,334,287,934,1259,1181,1060,685,708,927,1119,246,251,742,895,550,1047,816,850,1143,681,899,1,1,1
Chance Williams,167089,HB,CINCINNATI,Cincinnati,Cincinnati,3,5,3,0,0,0,0,11,0,0,3,8,96,0,1,138,0,2,70.5,70.2,73.8,0,70,54.9,72.5,58.8,5,0,0,0,9,10,0,0,0,5,1,11,8,1.6,2.2,0,3,761,727,418,562,562,562,852,264,415,369,805,283,812,721,640,603,496,776,334,228,739,292,829,1004,685,708,646,986,246,251,742,895,284,915,863,1017,1059,681,585,1,1,1
Kenneth Williams,183594,HB,NEBRASKA,Nebraska,Nebraska,3,5,0,1,68.2,15,0,22,0,0,0,19,0,1,1,238,0,2,71.6,67.3,70.3,0,0,75.2,64.2,0,15,0,20,1,4,5,0,0,1,6,0,22,19,3.8,4.4,5,3,761,727,843,299,86,519,713,264,415,781,626,901,545,721,640,537,655,971,334,593,104,679,1181,553,477,580,756,1119,246,251,613,855,550,774,681,282,674,17,585,1,1,1
