player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Team,teamid,2025 Team,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Sailasa Vadrawale III,176567,CB,OREGON ST,7,2,0,65.2,0,0,265,0,0,69.4,66,85.3,56.5,51,54.6,0,1,0,0,38,20,4,2,1,108.1,15,0,0,43,48,191,341,3,0,0,3,0,5,338,8,142,241,5,14,1,23,1,1,205,80,13.7,Oregon State,265,Oregon State,1,1851,425,428,341,32,733,2018,132,2922,4144,2980,1190,1587,66,505,465,179,1154,16,1041,494,149,227,2771,890,1455,2016,1394,786,192,2147,358,12,1426,895,700,166,1908,2966,1,3355,3689,3245,3770,4343,3728,4426,4266,3890
Bo LaPenna,176580,LB,COLORADO,1,0,0,0,0,0,143,0,0,60,62.3,66.3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Colorado,143,Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daylen Austin,176586,CB,OREGON,5,1,0,33.3,0,0,264,0,0,72.4,72.3,81.1,0,66.3,81.1,0,0,0,0,6,0,0,1,0,42.4,3,0,0,2,2,36,64,1,0,0,1,0,11,63,0,28,48,3,4,1,9,0,0,16,6,5.3,Oregon,264,Oregon,2191,2423,425,428,341,32,469,887,1172,3662,1962,384,1190,2336,66,505,2196,425,1154,16,2615,970,1644,2878,3183,890,1455,2550,1394,645,1678,3637,2906,404,2065,2501,700,1008,2602,2144,1,1,1,1,2226,2868,1,2602,2516,2405
Collin Gill,176591,S,CHARLOTTE,5,6,0,33.3,0,0,136,0,0,64.2,64.1,81.6,60.9,62.4,70.9,0,0,0,0,19,10,2,0,0,56.3,1,0,0,44,0,51,138,13,0,0,13,0,4,125,10,77,77,5,12,1,3,0,0,19,5,19,Charlotte,136,Charlotte,2191,539,425,428,341,32,1382,2426,1028,1724,2671,1850,1190,2336,66,505,1310,1002,1154,16,1028,1473,1423,1984,2007,890,1455,1204,1394,826,1257,2021,1589,210,1426,1093,700,1712,2602,2144,1,2262,2682,1,2353,2104,1,2681,2457,4299
Terrance Green,176593,DI,OREGON,6,2,0,0,0,0,264,0,0,59.4,62.8,79.8,57.6,64.4,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,104,24,77,0,3,0,0,38,65,0,5,7,0,0,0,0,0,0,0,Oregon,264,Oregon,199,1851,425,428,341,32,2768,2722,1562,2646,2301,779,1190,2336,66,505,2413,1002,1154,16,3165,1473,3176,2365,942,280,405,3016,995,1376,3417,1174,1869,2490,1426,1823,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Rodrick Pleasant,176596,CB,UCLA,6,5,0,44,0,0,324,1,0,75.6,74.5,82.9,0,67.7,57.6,0,0,0,0,22,20,5,4,2,56.6,11,0,0,44,311,177,377,6,0,0,6,0,1,371,0,200,14,6,15,2,25,0,0,107,98,9.7,UCLA,324,UCLA,199,738,425,428,23,32,285,636,619,3662,1735,2786,1190,2336,66,505,1106,26,1154,16,1028,48,230,99,2416,890,1455,1627,1394,1112,87,3637,25,1085,1185,808,294,112,2602,2284,1,3355,3975,4109,2420,4041,1,3947,4392,3166
Ashton Porter,176597,ED,OREGON,6,2,1,0,0,0,264,0,0,0,59.3,80.7,55.1,61.4,80.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,14,54,24,0,0,39,53,0,2,5,0,0,1,0,0,0,0,Oregon,264,Oregon,199,1851,66,428,341,32,3918,3376,1298,3213,2868,489,489,2336,66,505,2413,1002,1154,16,3165,1473,3462,2504,1019,890,866,611,363,1376,3417,1157,2193,2490,2445,2272,1707,2628,1908,1,1,1,1,1,1,1,1,29,17,29
Blake Purchase,176598,ED,OREGON,6,5,0,75,0,0,264,0,0,59.5,63.2,85.4,60.1,64.6,85.6,2,1,0,0,12,0,0,0,0,85.4,3,0,0,6,0,24,148,122,0,0,121,1,0,26,49,75,20,7,12,1,4,3,0,20,22,6.7,Oregon,264,Oregon,199,738,425,428,341,32,2751,2638,125,1839,2268,101,226,1587,66,505,1844,1002,1154,16,2184,1473,1855,1856,836,890,1455,323,1184,1376,2132,1016,1647,881,949,1093,700,1568,1189,3397,1,1,1,1,3042,2868,1,2704,3240,2584
A'Mauri Washington,176603,DI,OREGON,6,7,1,0,0,0,264,0,0,62.1,73.6,82.2,59.8,77.9,55.8,0,4,0,0,0,14.3,3,0,0,0,0,1,0,2,0,1,249,247,20,196,3,28,0,2,125,123,0,9,11,2,0,5,0,0,0,0,Oregon,264,Oregon,199,389,66,428,341,32,1804,732,829,2040,444,2910,1190,625,66,505,2413,1002,433,16,2615,1473,3176,875,163,317,51,2016,310,1376,2999,213,649,2490,630,1201,294,2628,780,1,1,2736,3309,1,1,1,1,29,17,29
Braden Marceau-Olayinka,176622,DI,STANFORD,6,3,0,100,0,0,300,0,0,46.2,61.5,34,62.1,67.1,57.1,2,5,0,0,0,14.3,1,0,1,79.2,1,0,0,1,0,0,148,147,72,72,0,3,0,1,86,62,0,3,3,0,1,7,0,0,6,0,Stanford,300,Stanford,199,1362,425,428,341,32,3732,2980,3869,1552,1845,2830,226,461,66,505,2413,1002,1154,16,2802,1473,3462,1856,676,88,426,3016,995,1376,3120,563,1945,2490,2065,2761,1707,2167,512,3917,1,2736,1727,3245,2794,2104,1,29,2516,29
Aaron Morris,176624,CB,STANFORD,3,0,0,46.2,0,0,300,0,0,67,66.4,79.5,60,57.8,70.9,0,0,0,0,19,14.3,1,0,2,99.7,6,0,0,3,119,100,124,0,0,0,0,0,0,124,1,23,2,0,6,0,13,0,2,61,14,10.2,Stanford,300,Stanford,3247,3291,425,428,341,32,984,1948,1637,1854,3572,1850,1190,2336,66,505,1310,1002,1154,16,2480,365,919,2134,3532,890,1455,3016,1394,1376,1265,3256,3089,2022,3617,2051,1707,675,2602,2310,1,2736,1727,4109,3539,3416,4324,3430,2926,3294
Che Ojarikre,176625,CB,STANFORD,6,4,0,71.4,0,0,300,0,0,62.3,62.6,0,68.1,66.2,49.2,0,1,0,0,43,21.4,3,0,2,93.5,10,0,0,28,93,141,215,2,0,0,2,0,2,213,4,70,90,3,7,0,14,1,0,107,57,10.7,Stanford,300,Stanford,199,1027,425,428,341,32,1758,2760,4253,785,1980,3310,1190,1587,66,505,331,1002,1154,16,1270,402,553,1170,2956,890,1455,2263,1394,970,816,2597,1750,167,2065,1823,1707,595,1908,3289,1,3578,3309,4109,3317,3943,1,3947,4016,3396
Omar Staples,176629,DI,STANFORD,6,2,0,0,0,0,300,0,0,60,70,79.1,65.5,69.6,76.6,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,105,104,5,64,9,26,0,1,80,25,0,2,3,0,0,8,0,0,0,0,Stanford,300,Stanford,199,1851,425,428,341,32,2326,1250,1738,1070,1432,966,226,461,66,505,2413,1002,433,16,2802,1473,3462,2355,942,578,467,1394,331,1376,3120,637,3008,2490,2445,2761,1707,2628,415,1,1,1,1,1,1,1,1,29,17,29
Tre Williams,176631,LB,STANFORD,2,0,0,0,0,0,300,0,0,60,61.5,65,0,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,Stanford,300,Stanford,3692,3291,425,428,341,32,2326,2980,3665,3662,3133,4198,1190,2336,66,505,2413,1002,1154,16,2273,1473,3176,4484,3532,890,1455,3016,1394,1376,2832,3637,4238,2490,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Elijah Hughes,176634,DI,NOTRE DAME,6,2,0,0,0,0,258,0,0,61.1,74.8,78.3,67.6,73.9,53.9,0,3,0,0,0,16.7,2,0,0,0,0,1,0,0,0,1,92,92,4,86,0,2,0,0,50,41,0,8,8,1,0,4,0,0,0,0,Notre Dame,258,Notre Dame,199,1851,425,428,341,32,2065,605,1957,822,856,3041,1190,854,66,505,2413,1002,433,16,3165,1473,3176,2504,1019,616,372,3016,1074,1376,3417,996,2522,2490,763,1653,700,2628,965,1,1,3015,2682,1,1,1,1,29,17,29
Deijon Laffitte,176637,DI,FRESNO ST,6,6,1,100,0,0,169,0,0,57.9,63.5,46,61.3,68.1,63.7,0,6,0,0,17,15.8,3,0,1,158.3,1,2,0,0,0,4,227,227,0,213,0,14,0,0,126,97,0,11,10,3,1,8,1,17,19,17,Fresno State,169,Fresno State,199,539,66,428,341,32,2952,2564,3772,1667,1669,2393,1190,354,66,505,1451,1002,188,16,3165,1473,2812,1063,235,890,26,3016,535,1376,3417,200,1165,2490,434,1327,116,2167,415,3917,1,2959,3309,3245,4490,2104,3728,2631,3140,4195
Braylan Shelby,176644,ED,USC,6,4,0,100,0,0,326,0,0,51.4,58,13.4,65.6,58.3,84,1,10,0,0,18,0,0,0,2,118.8,2,4,0,5,0,14,193,188,0,1,171,16,0,5,99,80,0,7,8,0,2,15,0,33,29,16.5,USC,326,USC,199,1027,425,428,341,32,3495,3563,4133,1053,3522,165,489,128,66,505,1383,1002,39,16,2273,1473,2177,1404,441,890,1350,185,484,1376,2832,432,1527,2490,949,1653,1707,1902,113,3917,1,1,1,4109,4013,2567,1,2985,3441,4168
CJ Blocker,176649,CB,COLO STATE,6,1,0,46.2,1,0,144,0,0,62.8,57.2,0,48.3,52.1,52.8,0,2,0,1,23,20,2,2,3,67.3,6,0,0,19,125,67,162,3,0,0,3,0,1,159,9,86,14,1,7,0,13,2,2,60,40,10,Colorado State,144,Colorado State,199,2423,425,428,341,32,1638,3671,4253,3610,4078,3114,1190,1135,66,109,1050,179,1154,16,1503,349,1247,1708,2771,890,1455,2016,1394,1112,1067,2082,1382,1085,2947,1823,1707,675,1480,2310,4332,3355,2682,4407,2568,3416,4324,3422,3689,3225
Jonah Lea'ea,176654,DI,UTAH,6,3,0,0,0,1,328,0,0,62.4,67.3,83.4,61,67.7,71,0,8,0,0,0,5.9,1,0,0,0,0,1,0,1,0,0,300,299,24,269,0,6,0,1,163,137,0,11,13,1,0,9,0,0,0,0,Utah,128,Utah,199,1362,425,64,341,32,1733,1762,467,1706,1735,1842,1190,208,66,505,2413,1002,433,16,2802,1473,3462,470,45,280,2,3016,805,1376,3120,41,435,2490,434,978,700,2628,350,1,1,1847,1727,1,1,1,1,29,17,29
Smith Snowden,176662,CB,UTAH,6,1,0,50,0,0,328,0,0,68.9,64.7,83.5,60,43.5,48.3,0,1,0,0,24,23.8,5,3,3,75,11,0,0,8,166,140,257,0,0,0,0,0,5,257,1,116,78,8,15,1,22,1,1,85,24,7.7,Utah,128,Utah,199,2423,425,428,341,32,784,2294,441,1854,4425,3355,1190,1587,66,505,985,64,1154,16,2046,277,560,811,3532,890,1455,3016,1394,786,594,3256,775,203,763,808,700,200,1908,2338,1,3736,3975,4407,2725,4041,3728,3727,3302,2761
Michael Hughes,176678,ED,WASH STATE,6,3,1,0,0,0,341,0,0,63.6,77.2,79,74.9,63.6,61.2,0,3,0,0,0,14.3,1,0,0,0,0,0,0,1,0,1,61,60,0,0,59,1,0,1,38,22,0,2,3,1,0,3,0,0,0,0,Washington State,341,Washington State,199,1362,66,428,341,32,1498,387,1759,342,2454,2552,1190,854,66,505,2413,1002,1154,16,2802,1473,3176,2919,1246,890,1455,582,1184,1376,3120,1174,3124,2490,2445,2761,700,2628,1189,1,1,2736,1727,1,1,1,1,29,17,29
Jack Janikowski,176679,ED,WASH STATE,6,0,0,0,0,0,341,0,0,60,62.6,79.7,59.2,69.3,24.5,0,2,0,0,0,50,1,0,0,0,0,0,0,0,0,0,77,77,0,0,70,7,0,0,39,38,0,1,1,0,0,2,0,0,0,0,Washington State,341,Washington State,199,3291,425,428,341,32,2326,2760,1583,2213,1468,4122,1190,1135,66,505,2413,1002,1154,16,3165,1473,3462,2699,1116,890,1455,519,756,1376,3417,1157,2611,2490,2947,3496,1707,2628,1480,1,1,4357,1727,1,1,1,1,29,17,29
Khalil Laufau,176681,DI,HOUSTON,6,5,1,0,0,1,182,0,0,60,79.7,82.7,61.4,87.4,51.4,1,7,0,0,0,21.7,5,0,0,0,0,1,0,1,0,1,328,327,23,233,5,66,0,1,163,164,0,13,13,0,0,9,0,0,0,0,Houston,182,Houston,199,738,66,64,341,32,2326,241,683,1658,64,3184,489,263,66,505,2413,1002,433,16,2802,1473,3176,290,17,291,10,1734,76,1376,3120,41,174,2490,283,978,1707,2628,350,1,1,3606,3975,1,1,1,1,29,17,29
Ethan O'Connor,176686,CB,MIAMI FL,5,1,0,75,0,0,220,0,0,64.5,67.6,81,72.5,73,57.8,0,0,0,0,26,20,1,0,1,144.8,3,1,0,2,141,99,157,1,0,0,1,0,0,156,2,56,13,2,3,1,4,1,1,39,26,13,Miami (FL),220,Miami (FL),2191,2423,425,428,341,32,1333,1691,1208,461,947,2775,1190,2336,66,505,882,1002,433,16,2615,317,936,1759,3183,890,1455,2550,1394,1376,1084,3007,2115,1126,2445,2761,700,1568,1908,3397,1,3355,1727,3245,4414,2868,3728,3087,3352,3783
Isaac Terrell,176693,ED,WASH STATE,6,5,1,100,0,1,341,0,0,59,85.9,82.9,80.2,82.6,52.1,2,13,0,0,34,22.2,4,0,0,158.3,1,5,1,4,0,0,202,198,0,7,155,36,0,4,106,96,0,13,9,6,1,20,1,34,39,34,Washington State,341,Washington State,199,738,66,64,341,32,2830,78,619,142,176,3149,226,48,66,505,588,1002,18,2,2368,1473,3462,1296,380,890,1051,222,227,1376,2896,348,1186,2490,283,1468,6,2167,43,3917,1,3623,3689,1,4490,2104,3728,3001,3658,4523
Adrian Wilson,176698,S,ARIZONA ST,6,12,0,62.5,0,1,110,1,0,69.1,63.2,83.8,0,47.1,58.3,0,0,0,1,56,18.4,7,1,0,106.3,5,0,0,55,1,161,275,0,0,0,0,0,201,275,0,114,18,3,19,1,8,0,1,127,42,25.4,Arizona State,110,Arizona State,199,83,425,64,23,32,761,2638,381,3662,4314,2741,1190,2336,66,109,153,425,1154,16,901,1128,355,659,3532,890,1455,3016,1394,22,492,3637,814,939,2065,542,700,1101,2602,2855,1,3287,4311,1,3724,3258,3728,4106,3735,4469
Andrew Powdrell,176775,CB,UNLV,6,2,0,66.7,0,0,325,0,0,59.9,62.1,82.4,69.9,66.9,66.9,1,1,0,0,44,12.9,4,1,3,97.5,18,0,0,27,314,193,345,2,0,0,2,0,0,343,3,149,1,4,25,0,27,2,0,258,67,14.3,UNLV,325,UNLV,199,1851,425,428,341,32,2707,2868,772,641,1875,2164,489,1587,66,505,309,425,1154,16,1297,42,133,208,2956,890,1455,2263,1394,1376,164,2783,281,2208,1726,260,1707,81,1480,2977,1,2642,3689,4407,3484,4461,1,4508,4143,3970
KJ Miniefield,176794,CB,MIDDLE TN,1,0,0,0,0,0,224,0,0,62.4,67.1,71.6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,2,5,0,0,0,0,0,0,0,0,0,Middle Tennessee,224,Middle Tennessee,4155,3291,425,428,341,32,1733,1810,3279,3662,3157,4198,1190,2336,66,505,2413,1002,1154,16,3165,1473,2930,4484,3532,890,1455,3016,1394,1376,2832,3637,4419,1626,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Joshua Pierce,176876,ED,N TEXAS,5,3,0,0,0,0,251,0,0,0,71.2,78.4,59.1,75.7,47.7,0,2,0,0,0,28.6,2,0,0,0,0,1,0,0,0,0,71,71,0,2,48,21,0,0,30,41,0,2,2,0,0,3,0,0,0,0,North Texas,251,North Texas,2191,1362,425,428,341,32,3918,1056,1929,2248,651,3383,1190,1135,66,505,2413,1002,433,16,3165,1473,3462,2781,1158,890,1272,645,408,1376,3417,1347,2522,2490,2445,3090,1707,2628,1189,1,1,4004,2682,1,1,1,1,29,17,29
Rashawn Carr,176889,LB,MARSHALL,1,0,0,0,0,0,214,0,0,61.1,66.4,71.7,0,63.4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,2,0,0,2,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,Marshall,0,Marshall,4155,3291,425,428,341,32,2065,1948,3266,3662,2489,1601,1190,2336,66,505,2413,1002,1154,16,2368,1473,2930,4391,2956,890,1455,2263,1394,1376,2896,3637,4353,2490,3617,3496,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Malik Willis,176890,CB,TEXAS ST,5,3,0,87.5,0,0,314,0,0,62.6,60.6,79.9,59.7,53.4,31.1,0,0,0,0,14,33.3,5,0,0,94.3,7,0,0,22,14,66,119,1,0,0,1,0,1,118,1,52,80,5,7,0,8,0,0,53,48,7.6,Texas State,0,Texas State,2191,1362,425,428,341,32,1688,3150,1531,2069,3986,3883,1190,2336,66,505,1685,1002,1154,16,1408,682,1253,2198,3183,890,1455,2550,1394,1112,1303,3256,2223,195,1426,1823,1707,1101,2602,3834,1,4117,3975,1,3345,3582,1,3304,3863,2749
Ja'Son Prevard,177049,CB,VIRGINIA,6,2,1,54.5,0,0,335,0,0,73.6,74,20.5,82.3,71.4,67.6,0,1,0,2,34,14.3,2,1,1,45.5,6,0,0,50,2,155,289,17,0,0,17,0,3,272,6,128,217,3,10,1,11,1,0,99,50,16.5,Virginia,335,Virginia,199,1851,66,428,341,32,383,684,4055,110,1144,2126,1190,1587,66,20,588,425,1154,16,954,970,411,562,1853,890,1455,1067,1394,890,514,2348,561,21,2065,1327,700,828,1908,2603,1,2736,2682,3245,2258,3416,1,3865,3891,4168
AJ Richardson,177067,LB,NC STATE,2,4,0,80,0,0,248,0,0,61.3,60.8,75.2,66.4,56.4,85.2,0,1,0,0,22,0,0,0,0,109.2,4,0,0,60,0,41,69,1,0,0,1,0,2,68,5,23,6,4,5,0,5,1,0,51,21,12.8,North Carolina State,248,North Carolina State,3692,1027,425,428,341,32,2007,3109,2641,947,3723,115,1190,1587,66,505,1106,1002,1154,16,848,1473,1569,2808,3183,890,1455,2550,1394,970,1630,2454,3089,1528,1726,2272,1707,1436,1908,3612,1,1,1,1,3814,3068,1,3271,3214,3743
Jaylen Bowden,177087,CB,MINNESOTA,2,0,0,50,0,0,225,0,0,77.9,84.6,71.5,0,73,77,0,0,0,0,3,0,0,0,0,56.3,1,0,0,2,13,7,16,0,0,0,0,0,0,16,0,9,1,2,2,0,2,0,0,3,3,3,Minnesota,225,Minnesota,3692,3291,425,428,341,32,194,95,3293,3662,947,908,1190,2336,66,505,2335,1002,1154,16,2615,694,2560,3901,3532,890,1455,3016,1394,1376,2349,3637,3806,2208,2445,3090,1707,1902,2602,2338,1,1,1,1,2353,2104,1,2190,2349,2214
Teon Parks,177128,CB,COLORADO,5,2,0,75,0,0,143,0,0,36.6,44.5,80.4,0,76.5,36.3,0,0,0,0,21,26.7,4,0,1,130.9,9,0,0,15,136,81,166,2,0,0,2,0,0,164,0,85,13,1,9,0,12,0,3,77,37,8.6,Colorado,143,Colorado,2191,1851,425,428,341,32,3880,4444,1399,3662,560,3788,1190,2336,66,505,1156,1002,1154,16,1647,328,1105,1670,2956,890,1455,2263,1394,1376,1045,3637,1399,1126,2947,1468,1707,760,2602,3397,1,3943,3689,3245,4297,3826,4483,3644,3616,2946
Avery Powell,177141,S,TEMPLE,6,6,0,64.7,0,0,306,1,0,55.4,58.2,82.5,60,64.8,55,0,0,0,1,35,20.5,8,0,1,96,11,0,0,118,3,166,279,1,0,0,1,0,90,278,1,112,67,5,25,0,17,0,1,183,85,16.6,Temple,306,Temple,199,539,425,428,23,32,3206,3529,743,1854,2239,2949,1190,2336,66,109,559,1002,1154,16,472,884,321,636,3183,890,1455,2550,1394,253,479,3256,853,248,1426,260,1707,401,2602,2954,1,3531,4394,3245,3443,4041,3728,4367,4313,4174
Bryce Hawthorne,177214,DI,IOWA,6,4,0,0,0,0,192,0,0,60.6,56.7,80.6,60.5,52.2,29.4,0,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,130,130,19,111,0,0,0,0,69,61,0,2,2,0,0,0,0,0,0,0,Iowa,192,Iowa,199,1027,425,428,341,32,2193,3729,1325,1768,4071,3928,1190,2336,66,109,2413,1002,1154,16,3165,1473,3462,2077,789,325,258,3016,1394,1376,3417,758,1972,2490,2445,3090,1707,2628,2602,1,1,3759,2682,1,1,1,1,29,17,29
Nathaniel Chandler,177287,DI,TOLEDO,2,1,0,0,0,0,316,0,0,0,58,72.7,63.4,55.3,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,15,0,1,0,0,7,9,0,1,1,0,0,0,0,0,0,0,Toledo,316,Toledo,3692,2423,425,428,341,32,3918,3563,3102,1379,3821,1735,1190,2336,66,505,2413,1002,1154,16,3165,1473,3462,3901,1890,890,848,3016,1184,1376,3417,2250,3806,2490,2947,3496,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Drew Spinogatti,177398,LB,JAMES MAD,6,2,0,75,0,0,197,0,0,64.4,62.5,77.8,55.1,61.9,44.6,1,1,0,0,64,25,3,1,0,156.3,3,0,0,107,0,37,112,3,0,0,3,0,0,109,16,59,2,4,7,2,4,2,1,80,60,26.7,James Madison,197,James Madison,199,1851,425,428,341,32,1347,2786,2071,3213,2752,3526,489,1587,66,505,94,425,1154,16,536,1473,1630,2271,2771,890,1455,2016,1394,1376,1356,1757,2027,2022,1726,1823,294,1568,1480,3397,1,3759,3309,1,4478,2868,3728,3680,4060,4486
Taylor Burton,177573,DI,MEMPHIS,5,1,1,0,0,0,218,0,0,60,74.5,78.4,69.6,75.9,46.5,0,2,0,0,0,25,1,0,0,0,0,0,0,0,0,0,92,91,1,52,18,20,0,1,58,34,0,2,2,0,0,2,0,0,0,0,Memphis,218,Memphis,2191,2423,66,428,341,32,2326,636,1929,661,631,3444,1190,1135,66,505,2413,1002,1154,16,3165,1473,3462,2504,1028,781,531,1031,423,1376,3120,893,2712,2490,2445,3090,1707,2628,1480,1,1,3759,1727,1,1,1,1,29,17,29
Noah Yeh,177766,ED,FRESNO ST,2,0,0,0,0,0,169,0,0,0,66.5,72.6,65.7,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,Fresno State,169,Fresno State,3692,3291,425,428,341,32,3918,1929,3117,1043,3069,4198,1190,2336,66,505,2413,1002,1154,16,3165,1473,3462,4276,2283,890,1455,1470,1394,1376,3417,2454,4353,2490,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Onye Nwosisi,177800,ED,BOSTON COL,3,1,0,100,0,0,121,0,0,49.7,65.1,0,76.5,70.6,78.5,1,1,0,0,3,0,0,0,2,118.8,1,0,0,0,0,4,49,48,0,3,45,0,0,1,29,16,1,3,4,0,1,2,1,3,0,3,Boston College,121,Boston College,3247,2423,425,428,341,32,3604,2205,4253,267,1264,700,489,1587,66,505,2335,1002,1154,16,3165,1473,2812,3106,1352,890,1209,673,1394,1376,3120,1364,3386,2208,2065,2501,1707,2167,1480,3917,1,1,1,4109,4013,2104,3728,2190,17,2214
C.J. Douglas,177865,S,HOUSTON,4,1,0,0,0,0,182,0,0,73.7,73.5,75.8,0,68.4,79.4,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,20,48,0,0,0,0,0,20,48,0,28,6,0,1,0,1,0,0,0,0,0,Houston,182,Houston,2805,2423,425,428,341,32,379,744,2523,3662,1620,579,1190,2336,66,109,2413,1002,1154,16,1408,1473,1962,3135,3532,890,1455,3016,1394,538,1809,3637,2906,1528,3617,3496,1707,2167,2602,1,1,1,1,1,1,1,1,29,17,29
Christian Davis,178014,DI,LA TECH,6,4,1,0,0,0,208,0,0,71.4,73,83.2,66,71.2,58.7,0,3,0,0,0,12.5,1,0,0,0,0,0,0,1,0,1,163,162,157,3,1,1,0,1,94,68,0,2,3,1,0,3,0,0,0,0,Louisiana Tech,208,Louisiana Tech,199,1027,66,428,341,32,547,801,523,997,1184,2716,1190,854,66,505,2413,1002,1154,16,2802,1473,3176,1701,595,12,1209,2550,1184,1376,3120,483,1798,2490,2445,2761,700,2628,1189,1,1,2552,1727,1,1,1,1,29,17,29
Chancellor Owens,178024,DI,ARIZONA,2,0,0,0,0,0,109,0,0,0,72.6,75.2,61.5,74.1,37.1,0,1,0,0,0,50,1,0,0,0,0,1,0,0,0,0,32,32,4,22,3,3,0,0,16,16,0,2,1,0,0,2,0,0,0,0,Arizona,109,Arizona,3692,3291,425,428,341,32,3918,851,2641,1640,834,3768,1190,1587,66,505,2413,1002,433,16,3165,1473,3462,3446,1542,616,760,2016,995,1376,3417,1757,3386,2490,2445,3496,1707,2628,1480,1,1,4357,1727,1,1,1,1,29,17,29
Zach Kelly,178094,CB,BOSTON COL,1,0,0,0,0,0,121,0,0,60.9,61.8,71.1,0,60,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,1,3,0,0,0,1,0,0,0,0,0,Boston College,121,Boston College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Ray,178139,ED,DELAWARE,1,0,0,0,0,0,151,0,0,0,58.1,67.3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Delaware,0,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
