player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Team,teamid,2025 Team,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Marco Notarainni,73389,LB,BOISE ST,6,7,0,75,0,0,120,1,0,63.6,71.1,27.4,71.2,71.5,65.7,7,8,0,0,36,10.8,4,0,1,106.3,6,0,0,300,1,116,322,8,0,0,8,0,0,314,37,169,13,16,26,2,8,15,0,80,46,13.3,Boise State,120,Boise State,199,389,425,428,23,32,1498,1072,3953,547,1129,2263,7,208,66,505,518,1002,1154,16,52,1128,783,328,2283,890,1455,1470,1394,1376,284,1202,139,1126,148,221,294,1101,113,3397,1,2381,3689,3245,3724,3416,1,3680,3832,3836
Trent Whalen,73609,LB,ARKANSAS,4,0,0,100,0,0,111,0,0,42.9,47.6,73,64.6,63.7,81.9,1,2,0,0,21,0,0,0,0,118.8,6,0,0,20,0,15,25,0,0,0,0,0,0,25,3,7,4,3,6,0,6,3,0,87,51,14.5,Arkansas,111,Arkansas,2805,3291,425,428,341,32,3810,4365,3042,1202,2432,315,489,1135,66,505,1156,1002,1154,16,1467,1473,2140,3624,3532,890,1455,3016,1394,1376,2152,2783,3953,1729,2065,2051,1707,1327,1189,3917,1,1,1,1,4013,3416,1,3747,3912,3991
Gio De Leon,73658,LB,BUFFALO,2,0,0,0,0,0,126,0,0,62.9,54.1,73.7,58.1,60,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,0,1,4,0,0,3,3,2,0,1,1,0,0,0,0,0,0,0,Buffalo,126,Buffalo,3692,3291,425,428,341,32,1620,3979,2915,2526,3157,1601,1190,2336,66,505,2413,1002,1154,16,2480,1473,2930,4276,2529,890,1350,1871,1394,1376,2932,2783,4419,2490,2947,3496,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Cory Hall,73699,DI,UNLV,1,0,0,0,0,0,325,0,0,0,58.2,69.4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,UNLV,325,UNLV,4155,3291,425,428,341,32,3918,3529,3534,2558,4529,4198,1190,2336,66,505,2413,1002,1154,16,3165,1473,3462,4484,2529,781,1165,3016,1394,1376,3417,2454,4529,2490,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,0,50,0,0,340,0,0,63.2,67.4,80.5,68.8,65.6,78.4,0,2,0,0,25,6.7,1,0,0,64.6,4,1,0,139,5,80,152,3,0,0,3,0,0,149,16,56,4,9,13,1,8,3,0,40,14,10,Washington,340,Washington,3247,2423,425,428,341,32,1562,1735,1361,732,2093,714,1190,1135,66,505,937,1002,433,16,377,805,1121,1819,2771,890,1455,2016,1394,1376,1122,1757,2115,1729,630,978,700,1101,1189,2338,1,1909,1727,1,2521,3068,1,3112,2926,3225
Ryan Quintanar,74152,LB,USC,1,0,0,0,0,0,326,0,0,60,50.8,69.1,0,51.5,20,0,0,0,0,0,100,1,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,USC,326,USC,4155,3291,425,428,341,32,2326,4213,3567,3662,4116,4187,1190,2336,66,505,2413,1002,1154,16,2273,1473,3176,4484,3532,890,1455,3016,1394,1376,2832,3637,4238,2490,3617,3974,1707,2628,2602,1,1,4492,1727,1,1,1,1,29,17,29
Justin Sinclair,74258,S,HAWAII,4,0,0,66.7,0,2,180,0,0,58.7,63,75.2,60,69.1,84.6,0,0,0,0,13,0,0,0,1,86.8,2,0,0,14,0,16,36,0,0,0,0,0,6,36,1,19,15,0,7,0,3,0,0,21,5,10.5,Hawaii,180,Hawaii,2805,3291,425,8,341,32,2878,2677,2641,1854,1508,140,1190,2336,66,505,1767,1002,1154,16,1687,1473,2094,3356,3532,890,1455,3016,1394,748,1949,3256,3247,1050,3617,1823,1707,1712,2602,2977,1,1,1,3245,3080,2567,1,2734,2457,3354
Zion Branch,74395,S,GEORGIA,3,0,0,100,0,0,173,0,0,66,68.1,77.2,0,69.3,68.8,0,0,0,0,17,11.1,1,0,0,116.7,2,0,0,21,0,33,56,1,0,0,1,0,26,55,0,23,8,3,8,0,2,0,0,24,11,12,Georgia,0,Georgia,3247,3291,425,428,341,32,1093,1591,2214,3662,1468,2052,1190,2336,66,505,1451,1002,1154,16,1438,1473,1690,2993,3183,890,1455,2550,1394,495,1737,3637,3089,1390,2065,1653,1707,1902,2602,3917,1,2393,1727,1,3962,2567,1,2802,2808,3624
Jaymar Mundy,75041,CB,OHIO,5,0,0,60,2,0,259,0,0,56.2,53.2,0,0,58.6,59,0,0,0,0,42,25,1,0,2,143.8,3,0,0,3,55,34,60,0,0,0,0,0,0,60,0,26,1,1,3,0,5,0,1,63,9,21,Ohio,259,Ohio,2191,3291,425,428,341,32,3139,4067,4253,3662,3486,2696,1190,2336,66,505,352,1002,1154,16,2480,478,1672,2930,3532,890,1455,3016,1394,1376,1706,3637,2983,2208,2947,2761,1707,1436,2602,2751,4538,3759,1727,4109,4403,2868,3728,3457,2708,4375
Silas Walters,75263,S,MIAMI OH,6,8,0,50,0,0,221,0,0,70.9,71.1,34.9,61.9,74.4,54.6,0,4,0,2,19,21.1,8,3,2,59.6,17,0,0,94,2,237,402,18,0,0,18,0,29,384,8,157,259,8,22,0,34,4,2,169,57,9.9,Miami (OH),221,Miami (OH),199,289,425,428,341,32,597,1072,3858,1582,796,2980,1190,625,66,20,1310,64,1154,16,619,970,19,44,1815,890,1455,1031,1394,470,59,2147,217,6,763,391,1707,20,965,2338,1,3564,4394,4109,2448,4429,4324,4324,4016,3216
