player,player_id,position,team_name,2025 Team,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Dakerric Hobbs,170500,CB,NEW MEX ST,New Mexico State,3,0,0,54.5,0,0,242,0,0,67.6,63,80.2,0,45.8,51.8,0,0,0,0,18,18.2,2,0,2,61.2,6,0,0,29,192,111,223,1,0,0,1,0,0,222,0,112,1,2,9,2,11,0,0,36,13,6,73,2533,230,214,166,19,747,2397,666,3161,3988,2820,737,1691,33,270,840,632,711,10,825,5,48,12,2628,735,1286,1929,1153,1095,10,3142,22,1813,1502,501,73,194,2030,2706,1,3029,3215,4052,2565,3769,1,3339,3152,2612
KD Johnson,170513,DI,UTEP,UTEP,3,4,1,0,0,0,330,0,0,60,73.6,80.6,57.8,80.9,79.5,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,182,181,11,137,3,30,0,1,94,88,0,8,9,2,0,3,0,0,0,0,73,244,21,214,166,19,2004,698,540,2261,181,538,737,545,33,270,1950,632,178,10,2385,1120,3027,119,6,280,5,1487,76,1095,2718,20,85,2115,151,501,73,2196,567,1,1,1,1,1,1,1,1,37,18,37
Maddox Marcellus,170594,LB,VIRGINIA,Virginia,3,0,0,60,0,0,335,0,0,63.4,62.4,77,79.5,48.3,37.4,0,0,0,0,14,40,2,1,0,66.3,3,2,0,46,0,33,62,3,0,0,3,0,0,59,3,26,13,5,3,0,5,2,0,17,7,5.7,73,2533,230,214,166,19,1279,2509,1857,138,3889,3307,737,1691,33,270,1105,158,44,10,573,1120,1217,2036,2285,735,1286,1487,1153,1095,1271,2258,2083,681,499,1803,1063,805,855,2792,1,3873,3215,1,2626,3098,1,2838,2802,2590
Albert Nunes,170596,LB,NEW MEXICO,New Mexico,1,0,0,0,0,0,241,0,0,54.8,56.3,74.8,0,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,17,5,0,0,5,0,0,12,0,8,8,0,0,0,0,0,0,0,0,0,3554,2533,230,214,166,19,2774,3433,2540,3161,2630,3761,737,1691,33,270,1950,632,711,10,1937,1120,1973,3379,2080,735,1286,1257,1153,1095,2152,3142,3379,940,2999,3465,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Derek Ganter Jr.,170679,S,BOISE ST,Boise State,2,1,0,0,0,0,120,0,0,66.6,68.4,74.8,59.8,63,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,18,3,0,0,3,0,5,15,1,4,3,0,0,0,0,0,0,0,0,0,2465,1489,230,214,166,19,842,1401,2540,1719,2271,1252,737,1691,33,270,1950,632,711,10,1937,736,1775,3331,2285,735,1286,1487,1153,643,2044,2728,3832,1436,2999,3465,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Jon Johnson,170699,CB,NEW MEXICO,New Mexico,3,1,0,50,0,0,241,0,0,71.8,71.3,80.9,0,63,83.1,0,0,0,0,9,0,0,1,0,61.5,2,0,0,3,118,82,129,6,0,0,6,0,2,123,0,47,0,3,7,0,4,0,0,17,3,8.5,73,1489,230,214,166,19,465,979,465,3161,2271,199,737,1691,33,270,1471,158,711,10,2055,141,289,660,1988,735,1286,1163,1153,757,541,3142,1004,2115,1028,794,1063,964,2030,2416,1,1,1,1,2566,2727,1,2838,2524,2994
Alex McLaughlin,170717,S,WASHINGTON,Washington,2,4,0,50,0,0,340,0,0,74,70.2,0,59.7,65.5,85.7,0,1,0,0,24,0,0,2,1,63.3,5,0,0,28,10,65,103,3,0,0,3,0,17,100,2,36,44,4,7,1,10,1,0,47,12,9.4,2465,244,230,214,166,19,319,1123,3879,1745,1823,75,737,943,33,270,557,48,711,10,846,632,564,1080,2285,735,1286,1487,1153,437,775,2452,1520,173,713,794,305,251,1263,2416,1,1,1,3446,2594,3604,1,3524,3104,3137
Michael Jordan Jr.,170734,DI,FRESNO ST,Fresno State,4,1,0,0,0,0,169,0,0,0,58.7,77.6,66.8,53.7,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,8,60,0,0,0,0,29,39,0,1,2,0,0,0,0,0,0,0,1,1489,230,214,166,19,3356,3131,1646,780,3601,1140,737,1691,33,270,1950,632,711,10,2676,1120,3027,1873,668,328,201,2407,1153,1095,2937,848,1376,2115,2108,2270,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Jaden DaCosta,170741,LB,WYOMING,Wyoming,2,0,0,0,0,0,351,0,0,50.4,34.3,67.5,58.8,49,20.7,0,1,0,0,0,100,1,0,0,39.6,0,0,0,5,0,2,7,0,0,0,0,0,1,7,1,4,1,0,0,0,1,1,0,0,0,0,2465,2533,230,214,166,19,3028,4167,3693,2031,3852,3736,737,943,33,270,1950,632,711,10,1815,1120,2642,3952,3005,735,1286,2407,1153,862,2369,2728,3832,1813,2999,3465,1063,1725,1263,1,1,4127,2199,1,2101,1,1,37,18,37
Michael Montgomery,170754,LB,SO MISS,Southern Miss,3,5,0,71.4,0,0,296,0,0,75,63.5,81.1,46.4,53.3,68.2,0,1,0,1,16,12.5,2,0,0,45.8,5,0,0,163,2,86,170,2,0,0,2,0,0,168,12,72,3,6,9,0,7,1,0,40,33,8,73,137,230,214,166,19,266,2311,409,3148,3622,2099,737,943,33,34,960,632,711,10,27,781,243,200,2437,735,1286,1678,1153,1095,166,1430,269,1436,333,501,1063,503,1263,3126,1,2582,3215,1,2369,3604,1,3404,3764,2904
Lucas Lambert-Pipkin,170827,DI,TOLEDO,Toledo,3,1,0,0,0,0,316,0,0,0,60.4,75.2,57.3,60.9,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,36,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,73,1489,230,214,166,19,3356,2848,2423,2363,2659,1923,737,1691,33,270,1950,632,711,10,2676,1120,3027,2695,1134,735,407,2407,1153,1095,2937,1564,2083,2115,2999,3465,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Matthew Traynor,170914,S,WISCONSIN,Wisconsin,2,1,0,0,0,0,349,0,0,58.1,61.6,74.4,0,64.7,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,14,0,0,0,0,0,6,14,0,3,6,0,2,0,0,0,0,0,0,0,2465,1489,230,214,166,19,2520,2655,2636,3161,1977,425,737,1691,33,270,1950,632,711,10,2203,1120,1855,3535,3005,735,1286,2407,1153,614,2080,3142,3960,1085,2999,2270,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
TJ McGill,170943,S,JAMES MAD,James Madison,1,0,0,0,0,0,197,0,0,62,72.1,71.5,0,74,77.1,0,0,0,0,0,0,0,0,0,39.6,0,0,0,6,0,3,12,0,0,0,0,0,2,12,0,9,4,2,2,0,1,0,0,0,0,0,3554,2533,230,214,166,19,1527,847,3267,3161,673,842,737,1691,33,270,1950,632,711,10,1704,1120,2515,3656,3005,735,1286,2407,1153,757,2152,3142,3277,1310,1502,2270,1063,1725,2030,1,1,1,1,1,2101,1,1,37,18,37
Jack Bousum,170962,ED,ARMY,Army,2,0,0,0,0,0,114,0,0,0,58.8,78.8,58.9,58.2,29.9,1,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,89,89,3,2,29,55,0,0,44,45,0,3,3,2,0,1,0,0,0,0,2465,2533,230,214,166,19,3356,3114,1191,1993,3216,3444,189,1691,33,270,1950,632,711,10,2676,1120,3027,1386,417,499,1109,562,15,1095,2937,478,1088,2115,1028,1803,73,2196,1263,1,1,3873,3215,1,1,1,1,37,18,37
Jaxon Hammond,170978,CB,ARMY,Army,2,0,0,0,0,0,114,0,0,74.1,74.2,74.5,0,66,74.2,0,0,0,0,0,0,0,1,0,39.6,0,0,0,1,33,15,34,0,0,0,0,0,0,34,0,19,0,0,1,0,1,0,0,0,0,0,2465,2533,230,214,166,19,312,639,2614,3161,1743,1360,737,1691,33,270,1950,158,711,10,2385,448,1706,2754,3005,735,1286,2407,1153,1095,1597,3142,2503,2115,2999,2822,1063,1725,2030,1,1,1,1,1,2101,1,1,37,18,37
