Coach,NFL,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2020school,logopath
Jay Norvell,0,132.46,145.27,155.96,125.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,
Jeff Bower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.94,136.68,117.82,109.5,95.96,141.15,0,0,#N/A,
Jeff Brohm,0,208.38,224.72,188.31,158.89,124.1,115.65,121.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Purdue,
Jeff Genyk,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66,69.38,49.67,28.36,72.7,0,0,0,0,#N/A,
Jeff Hafley ,0,170.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston College,
Jeff Jagodzinski,0,0,0,0,0,0,0,0,0,0,0,0,0,191.79,168.51,0,0,0,0,0,0,0,#N/A,
Jeff Monken,0,139.43,139.75,118.69,106.37,108.9,100.83,87.22,40.99,25.1,0,13.33,0,0,0,0,0,0,0,0,0,0,Army,
Jeff Quinn,0,0,0,0,0,0,0,108.06,72.53,89.13,61.88,125.67,0,0,0,0,0,0,0,0,0,0,#N/A,
Jeff Scott,0,142.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Florida,
Jeff Tedford,0,0,153.5,141.73,137.74,0,0,0,0,217.88,249.7,233.8,206.98,205.43,210.38,212.65,241.37,196.23,180.46,0,0,0,#N/A,
Jeff Traylor,0,142.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UT San Antonio,
Jeff Woodruff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.64,77.27,0,0,#N/A,
Jeremy Pruitt,0,261.5,269.07,231.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,
Jerry Baldwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Jerry Kill,0,0,0,0,0,0,167.01,172.32,152.11,171,157.15,139.25,114.72,64.56,0,0,0,0,0,0,0,0,#N/A,
Jerry Moore,0,0,0,0,0,0,0,0,0,46.27,4.32,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Jim Caldwell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Jim Donnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,#N/A,
Jim Grobe,0,0,0,0,0,191.99,0,0,153,156.07,144.89,178.48,167.36,150.75,133.78,122.34,119.7,75.52,125.47,19.8,0,0,#N/A,
Jim Harbaugh,1,256.34,277.15,230.56,296.03,280.38,194.82,0,0,0,0,223.33,232.43,175.6,163.29,0,0,0,0,0,0,0,Michigan,
Jim Hofher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,72.05,73.52,76.26,0,0,#N/A,
Jim L. Mora,0,0,0,0,229.13,259.06,269.68,239.74,276.33,247.77,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Jim Leavitt,0,0,0,0,0,0,0,0,0,0,0,0,222.52,128.07,154.98,152.47,130.19,154.25,97.77,59.28,0,0,#N/A,
Jim McElwain,0,130.86,137.96,0,251.23,260.96,227.46,122.77,132.61,74.75,0,0,0,0,0,0,0,0,0,0,0,0,Central Michigan,
Jim Tressel,0,0,0,0,0,0,0,0,0,0,0,237.38,281.93,271.03,128.98,198.91,109.84,124.55,148.26,277.57,155.45,0,#N/A,
Jimbo Fisher,0,289.49,285.46,251.2,292.88,294.83,287.06,286.79,262.69,290.11,297.03,271.41,0,0,0,0,0,0,0,0,0,0,Texas A&M,
Jimmy Lake,0,252.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,
Joe Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,110.78,124.82,89.64,58.87,94.9,73.52,0,0,0,#N/A,
Joe Hollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Joe Moglia,0,136.61,125.06,120.13,96.51,97.11,26.71,19.95,35.72,10.62,0,0,0,0,0,0,0,0,0,0,0,0,Coastal Carolina,
