Coach,NFL,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2020school,logopath
Tommy Tuberville,0,0,0,0,0,152.74,162.45,161.43,162.33,220.7,230.54,207.32,0,224.19,248.55,245.54,209.75,182.43,200.29,226.3,126.96,80.07,#N/A,
Tommy West,0,0,0,0,0,0,0,0,0,0,0,0,130.01,146.77,121.04,84.38,94.57,109.55,117.27,128.75,27.59,0,#N/A,
Tony Levine,0,0,0,0,0,0,0,144.26,171.4,176.32,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tony Samuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.58,76.7,19.8,0,0,#N/A,
Tony Sanchez,0,0,139.57,131.08,109.9,142.78,119.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tracy Claeys,0,0,0,0,0,182.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Trent Miles,0,0,0,0,0,96.32,90.61,102.91,101.05,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Troy Calhoun,0,142.11,134.5,110.51,115.88,110.9,98.02,97.78,106.74,121.39,77.86,26.17,95.62,23.97,32.03,0,0,0,0,0,0,0,Air Force,
Turner Gill,0,0,0,80.33,40.17,35.65,38.13,7.63,0,22.63,178.77,177.9,90.58,65.34,61.45,96.91,0,0,0,0,0,0,#N/A,
Tyrone Willingham,0,0,0,0,0,0,0,0,0,0,0,0,0,225.25,184.72,183.52,114.56,168.32,239.52,235.46,84.71,85.01,#N/A,
Tyson Helton,0,157.37,153.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Kentucky,
Tyson Summers,0,0,0,0,118.78,149.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Urban Meyer,0,0,0,317.06,312.14,289.12,279.6,296.08,303.35,286.13,0,324.62,270.42,286.27,313.05,294.83,220.98,113.22,102.89,81.31,0,0,#N/A,
Vic Koenning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.82,0,0,#N/A,
Walt Bell,0,145.02,130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Umass,
Walt Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.17,200.1,154.42,147.62,181.22,27.03,26.02,#N/A,
Watson Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.39,110.09,88.92,84.94,91.7,0,0,#N/A,
Will Healy,0,152.55,112.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charlotte,
Will Muschamp,0,250.12,247.26,242.04,227.58,216.77,0,267.4,291.89,290.27,258.24,0,0,0,0,0,0,0,0,0,0,0,South Carolina,
Willie Fritz,0,165.84,144.82,173.75,114.66,127.78,137.18,111.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulane,
Willie Taggart,0,162.51,244.31,265.42,230.04,161.21,163.15,189.74,173.74,111.94,85.81,126.31,0,0,0,0,0,0,0,0,0,0,Florida Atlantic,
Woody Widenhofer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,26.39,#N/A,
