Coach,School,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Jimmy Lake,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,252.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Moglia,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,136.61,125.06,120.13,96.51,97.11,26.71,19.95,35.72,10.62,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Smith,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,182.12,172.88,173.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Heupel,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,162.97,179.69,177.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Fuente,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,162.89,224.01,226.01,217.74,190.06,146.79,135.91,123.56,116.8,0,0,0,0,0,0,0,0,0,0,0,0
Justin Wilcox,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,198,196.48,197.41,159.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalani Sitake,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,159.91,156.76,160.52,167.37,177.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalen DeBoer,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,131.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Niumatalolo,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,128.76,124.39,124.71,131.73,132.07,114.7,101.9,97.15,89.01,81.56,38.65,19.31,67.88,0,0,0,0,0,0,0,0
Kevin Sumlin,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,170.89,182.67,178.03,248.58,238.94,270.61,278.08,267.75,248.67,133.64,185.42,162.28,129.82,0,0,0,0,0,0,0,0
Kirby Smart,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,313.34,309.12,323.31,301.6,281.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Ferentz,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,203.81,199.36,203.34,191.44,181.39,169.99,171.84,171.96,201.08,208.64,208.14,165.44,169.8,199.85,174.47,252.89,35.7,158.53,0,56.95,27.45
Kyle Whittingham,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,212.32,196.61,209.95,205.78,200.66,183.38,160.67,181.27,204.91,182.11,202.2,195.36,152.27,151.35,147.87,128.26,0,0,0,0,0
Lance Leipold,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,114.94,134.64,81.31,112.97,107.51,103.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane Kiffin,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,204.07,178.99,163.9,171.18,0,0,0,0,274.18,286.99,294.73,264.62,0,0,0,0,0,0,0,0,0
Les Miles,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,178.97,165.84,0,0,295.03,284.37,299.29,281.05,252.55,272.65,267.84,293.15,259.67,282.25,269.92,218.34,191.12,183.97,176.17,0,0
